Datetime,Open,High,Low,Close,Volume
2022-01-02 02:30:00,47326.08000000,47439.21000000,47275.50000000,47370.41000000,151.72986000
2022-01-02 02:45:00,47370.40000000,47427.86000000,47357.06000000,47370.50000000,91.09360000
2022-01-02 03:00:00,47370.49000000,47393.45000000,47283.33000000,47295.80000000,83.40265000
2022-01-02 03:15:00,47295.81000000,47389.48000000,47269.47000000,47382.71000000,90.12151000
2022-01-02 03:30:00,47382.71000000,47467.11000000,47373.94000000,47406.18000000,93.06283000
2022-01-02 03:45:00,47406.18000000,47415.00000000,47282.82000000,47329.47000000,120.66603000
2022-01-02 04:00:00,47329.47000000,47415.73000000,47294.29000000,47381.63000000,117.25266000
2022-01-02 04:15:00,47381.64000000,47382.48000000,47289.00000000,47305.86000000,91.68911000
2022-01-02 04:30:00,47305.87000000,47387.95000000,47112.66000000,47159.47000000,366.01707000
2022-01-02 04:45:00,47159.47000000,47168.14000000,46770.23000000,46910.30000000,684.72936000
2022-01-02 05:00:00,46910.30000000,47006.40000000,46832.08000000,46882.49000000,238.54018000
2022-01-02 05:15:00,46882.49000000,46964.58000000,46850.00000000,46945.27000000,135.97000000
2022-01-02 05:30:00,46945.26000000,47071.32000000,46938.38000000,46969.69000000,138.54659000
2022-01-02 05:45:00,46968.65000000,47089.63000000,46912.95000000,47081.28000000,173.14700000
2022-01-02 06:00:00,47081.28000000,47159.99000000,47011.24000000,47035.39000000,137.59054000
2022-01-02 06:15:00,47035.38000000,47200.00000000,47028.21000000,47106.80000000,112.56420000
2022-01-02 06:30:00,47106.80000000,47236.66000000,47059.02000000,47184.84000000,209.50390000
2022-01-02 06:45:00,47184.84000000,47244.00000000,47113.22000000,47122.61000000,68.54333000
2022-01-02 07:00:00,47122.60000000,47182.58000000,47087.62000000,47135.88000000,133.33295000
2022-01-02 07:15:00,47135.88000000,47211.55000000,47133.00000000,47181.44000000,74.70170000
2022-01-02 07:30:00,47181.45000000,47300.00000000,47162.40000000,47178.61000000,192.91864000
2022-01-02 07:45:00,47174.19000000,47196.61000000,47090.18000000,47173.45000000,143.42104000
2022-01-02 08:00:00,47173.44000000,47178.95000000,46970.05000000,47060.74000000,173.36588000
2022-01-02 08:15:00,47060.74000000,47227.28000000,47048.98000000,47161.77000000,132.80846000
2022-01-02 08:30:00,47161.76000000,47192.31000000,47054.02000000,47161.01000000,135.76562000
2022-01-02 08:45:00,47161.01000000,47247.12000000,47141.77000000,47222.40000000,136.34607000
2022-01-02 09:00:00,47222.40000000,47236.89000000,47144.12000000,47215.05000000,124.65970000
2022-01-02 09:15:00,47215.05000000,47499.45000000,47177.94000000,47338.85000000,364.93981000
2022-01-02 09:30:00,47338.85000000,47391.32000000,47324.13000000,47380.00000000,194.74197000
2022-01-02 09:45:00,47380.01000000,47381.54000000,47250.11000000,47273.24000000,108.10220000
2022-01-02 10:00:00,47273.23000000,47348.34000000,47251.57000000,47348.33000000,89.38218000
2022-01-02 10:15:00,47348.34000000,47348.34000000,47251.01000000,47272.23000000,83.14342000
2022-01-02 10:30:00,47272.23000000,47322.07000000,47216.33000000,47265.00000000,89.74125000
2022-01-02 10:45:00,47265.00000000,47275.03000000,47140.30000000,47188.89000000,127.82216000
2022-01-02 11:00:00,47188.88000000,47283.01000000,47159.57000000,47272.11000000,98.53149000
2022-01-02 11:15:00,47272.11000000,47333.33000000,47252.62000000,47310.00000000,82.65229000
2022-01-02 11:30:00,47309.99000000,47400.00000000,47258.02000000,47261.36000000,101.30307000
2022-01-02 11:45:00,47261.36000000,47263.47000000,47195.00000000,47235.50000000,76.54308000
2022-01-02 12:00:00,47238.89000000,47253.19000000,47013.50000000,47108.37000000,267.15818000
2022-01-02 12:15:00,47108.38000000,47193.02000000,47080.02000000,47156.25000000,134.16166000
2022-01-02 12:30:00,47156.24000000,47447.00000000,47137.85000000,47310.45000000,244.59474000
2022-01-02 12:45:00,47310.45000000,47374.28000000,47274.72000000,47292.95000000,152.14315000
2022-01-02 13:00:00,47289.67000000,47300.86000000,47130.00000000,47130.61000000,131.33530000
2022-01-02 13:15:00,47130.00000000,47255.30000000,47093.95000000,47248.78000000,204.91976000
2022-01-02 13:30:00,47248.78000000,47251.48000000,47135.01000000,47178.85000000,120.80715000
2022-01-02 13:45:00,47178.87000000,47179.78000000,47090.00000000,47137.35000000,123.37900000
2022-01-02 14:00:00,47137.35000000,47191.07000000,47100.00000000,47175.00000000,152.00904000
2022-01-02 14:15:00,47174.99000000,47202.39000000,47020.00000000,47056.24000000,220.68957000
2022-01-02 14:30:00,47056.24000000,47170.00000000,47055.26000000,47140.98000000,127.91204000
2022-01-02 14:45:00,47140.98000000,47163.13000000,47093.61000000,47112.55000000,117.05546000
2022-01-02 15:00:00,47112.54000000,47336.64000000,47071.27000000,47287.14000000,207.92148000
2022-01-02 15:15:00,47287.13000000,47320.24000000,47179.01000000,47185.97000000,180.33290000
2022-01-02 15:30:00,47185.97000000,47213.93000000,47105.13000000,47203.88000000,170.65358000
2022-01-02 15:45:00,47203.87000000,47390.00000000,47202.52000000,47340.47000000,225.25573000
2022-01-02 16:00:00,47340.47000000,47486.61000000,47273.64000000,47431.11000000,298.39696000
2022-01-02 16:15:00,47431.11000000,47473.59000000,47356.94000000,47419.57000000,147.42647000
2022-01-02 16:30:00,47420.64000000,47664.95000000,47419.57000000,47546.55000000,373.52978000
2022-01-02 16:45:00,47546.50000000,47886.00000000,47546.50000000,47792.30000000,548.21629000
2022-01-02 17:00:00,47792.29000000,47990.00000000,47520.89000000,47549.71000000,692.67062000
2022-01-02 17:15:00,47549.71000000,47694.00000000,47482.57000000,47646.39000000,258.30986000
2022-01-02 17:30:00,47646.39000000,47671.70000000,47514.24000000,47590.98000000,164.72832000
2022-01-02 17:45:00,47590.98000000,47600.00000000,47317.46000000,47401.14000000,324.88357000
2022-01-02 18:00:00,47401.14000000,47401.14000000,47221.20000000,47254.01000000,334.15265000
